year,market_Cap_Filter,sector_Filter,industry_Filter,company_Size_Filter,symbol
1989,10_Billion_Dollar_Company,"Communication Services","Electronic Gaming & Multimedia","10 Thousand +",EA
1990,100_Million_Dollar_Company,Industrials,"Engineering & Construction","Thousand +",MTRX
1990,100_Million_Dollar_Company,"Financial Services",Banks—Regional,"Hundred +",NRIM
1990,Billion_Dollar_Company,Technology,"Electronic Components","Thousand +",VICR
1990,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",CATY
1990,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",BANF
1990,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",VLY
1990,Billion_Dollar_Company,Healthcare,"Medical Instruments & Supplies","5 Thousand +",MMSI
1990,Billion_Dollar_Company,Industrials,"Consulting Services","Thousand +",EXPO
1990,Billion_Dollar_Company,Energy,"Oil & Gas E&P","Hundred +",PDCE
1990,10_Billion_Dollar_Company,Technology,"Scientific & Technical Instruments","10 Thousand +",TRMB
1990,10_Billion_Dollar_Company,Healthcare,"Medical Instruments & Supplies","5 Thousand +",HOLX
1990,100_Billion_Dollar_Company,Technology,"Communication Equipment","50 Thousand +",CSCO
1991,Million_Dollar_Company,Industrials,"Waste Management","Hundred +",JAN
1991,Million_Dollar_Company,"Consumer Defensive","Packaged Foods","Less Than Hundred",CYAN
1991,Million_Dollar_Company,"Consumer Cyclical","Specialty Retail","Less Than Hundred",IMBI
1991,10_Million_Dollar_Company,"Communication Services","Advertising Agencies","Less Than Hundred",ISIG
1991,10_Million_Dollar_Company,Healthcare,Biotechnology,"Less Than Hundred",ERNA
1991,100_Million_Dollar_Company,"Consumer Cyclical","Furnishings, Fixtures & Appliances","Thousand +",LCUT
1991,100_Million_Dollar_Company,Industrials,"Specialty Industrial Machinery","Hundred +",AMSC
1991,100_Million_Dollar_Company,"Financial Services","Credit Services","5 Thousand +",EZPW
1991,100_Million_Dollar_Company,"Financial Services","Credit Services","Thousand +",WRLD
1991,100_Million_Dollar_Company,"Communication Services","Telecom Services","Thousand +",ATNI
1991,100_Million_Dollar_Company,Technology,"Information Technology Services","Less Than Hundred",MGIC
1991,Billion_Dollar_Company,Industrials,"Engineering & Construction","Thousand +",STRL
1991,Billion_Dollar_Company,"Consumer Defensive","Packaged Foods","Thousand +",JBSS
1991,Billion_Dollar_Company,"Consumer Cyclical","Auto Parts","5 Thousand +",MNRO
1991,Billion_Dollar_Company,Technology,Software—Application,"Thousand +",PRGS
1991,Billion_Dollar_Company,"Consumer Cyclical","Auto Parts","Thousand +",DORM
1991,Billion_Dollar_Company,"Financial Services",Banks—Regional,"Thousand +",HWC
1991,Billion_Dollar_Company,"Financial Services","Insurance Brokers","Thousand +",CRVL
